Asp,Elev,FalB1,FalB2,FalB3,FalB4,FalB5,FalB6,FalTCb,FalTCg,FalTCw,LAE,NDVIMin,NDVIMax,NDVIMedian,NDVIDiff,Slpp,SprB1,SprB2,SprB3,SprB4,SprB5,SprB6,SprTCb,SprTCg,SprTCw,SumB1,SumB2,SumB3,SumB4,SumB5,SumB6,SumTcb,SumTcg,SumTCw,ppti,tavei,dep
243,1772,870,1321,1729,2837,3548,2945,1802,253,-2525,2625,1777,2730,2031,699,7,960,1388,1888,2809,3949,3406,2006,282,-2811,886,1318,1742,2804,3802,3184,1931,271,-2706,6789,40600,6281
82,1794,660,999,1304,1865,2089,1901,1061,149,-1487,2598,988,1962,1388,574,3,803,1216,1601,2111,2457,2209,1248,175,-1749,829,1226,1650,2173,2529,2336,1285,180,-1800,8749,39926,6281
124,1826,711,1069,1383,2107,2351,2038,1194,168,-1673,2628,1058,2083,1445,638,6,861,1265,1667,2274,2708,2360,1376,193,-1927,870,1296,1736,2352,2756,2484,1400,197,-1961,8881,39810,6281
-1,1852,724,1090,1383,2209,2508,2177,1274,179,-1785,2656,1040,2338,1489,849,1,892,1315,1774,2403,2870,2492,1458,205,-2043,917,1339,1820,2473,2964,2650,1506,211,-2109,9109,39764,6281
-1,1865,776,1209,1554,2667,2649,2249,1346,189,-1885,2668,966,2392,1414,978,2,970,1425,1948,2696,3008,2726,1528,214,-2141,1011,1529,2111,2834,3199,2959,1625,228,-2277,9265,39751,6281
-1,1868,760,1151,1499,2377,2558,2229,1299,182,-1821,2671,1010,2317,1502,815,0,923,1344,1820,2462,2882,2606,1464,205,-2051,949,1390,1914,2573,3013,2782,1531,215,-2144,9272,39753,6281
297,1804,834,1253,1799,2500,3479,3138,1767,248,-2476,2602,1436,2679,1718,961,2,993,1461,2054,2870,3811,3420,1936,272,-2712,956,1408,2028,2841,3765,3277,1913,268,-2680,10127,39818,6266
0,1748,772,1198,1612,2453,3188,2847,1620,227,-2269,2547,1439,2863,1849,1014,3,893,1351,1946,2724,3652,3256,1855,260,-2599,962,1461,2088,2909,3973,3451,2018,283,-2828,9727,40252,6281
-1,1745,723,1102,1502,2205,2959,2648,1503,211,-2106,2544,1295,2653,1759,894,0,885,1341,1918,2710,3690,3278,1875,263,-2626,955,1442,2058,2882,3967,3432,2015,283,-2823,9664,40300,6281
-1,1696,828,1257,1636,2550,3192,2797,1622,228,-2272,2502,1381,3190,1674,1516,0,1040,1579,2123,2885,3767,3293,1914,269,-2681,1123,1637,2262,3145,4156,3580,2111,296,-2958,8967,40589,6266
-1,1710,740,1009,1500,2221,2894,2785,1470,206,-2060,2522,1288,2733,1699,1034,2,987,1384,1883,2768,3614,3117,1836,258,-2572,1056,1514,2090,2952,3944,3328,2004,281,-2807,9223,40572,6266
293,1784,1022,1558,2022,3318,3950,3333,2007,282,-2811,2599,1342,2716,1845,871,3,1258,1956,2561,3665,4391,3684,2231,313,-3125,1314,2029,2637,3801,4595,3780,2334,328,-3270,9714,40327,6281
-1,1819,902,1362,1846,2865,3573,3018,1815,255,-2543,2632,1306,2823,1751,1072,2,1042,1540,2130,3029,3843,3376,1952,274,-2735,1167,1738,2392,3281,4139,3619,2103,295,-2946,9839,39889,6266
-1,1770,737,1080,1458,2170,2972,2574,1510,212,-2115,2584,1234,3049,1743,1306,0,937,1400,1884,2754,3614,3077,1836,258,-2572,965,1415,1906,2686,3586,3094,1822,256,-2552,9656,40352,6266
-1,1810,884,1322,1801,2830,3592,3110,1825,256,-2556,2624,1475,2599,1825,774,2,1130,1698,2322,3297,4217,3641,2142,301,-3001,1118,1693,2319,3244,4169,3617,2118,297,-2967,9899,39908,6281
-1,1860,755,1125,1499,2473,3288,2729,1670,234,-2340,2675,1460,2747,1899,848,2,955,1418,1895,2750,3812,3278,1936,272,-2713,962,1418,1938,2749,3774,3286,1917,269,-2686,10195,39804,6281
