Asp,Elev,FalB1,FalB2,FalB3,FalB4,FalB5,FalB6,FalTCb,FalTCg,FalTCw,LAE,NDVIMin,NDVIMax,NDVIMedian,NDVIDiff,Slpp,SprB1,SprB2,SprB3,SprB4,SprB5,SprB6,SprTCb,SprTCg,SprTCw,SumB1,SumB2,SumB3,SumB4,SumB5,SumB6,SumTcb,SumTcg,SumTCw,ppti,tavei,dep
275,2098,588,924,1142,1478,2466,2002,1253,176,-1755,3376,1992,3203,2288,915,37,631,1045,1173,2210,2606,2080,1324,186,-1855,678,1082,1346,2057,2845,2266,1445,203,-2025,11655,35288,6285
259,2120,580,911,1147,1583,2561,2008,1301,183,-1823,3396,1075,3204,2280,925,37,641,1091,1234,2232,2667,2138,1355,190,-1898,671,1066,1360,2118,2994,2410,1521,213,-2131,12188,35155,6285
67,2272,617,937,1252,1909,2757,2138,1401,197,-1962,3542,2114,3777,2682,1095,13,607,992,1323,2454,2842,2233,1444,203,-2023,711,1067,1475,2402,3213,2536,1632,229,-2287,14038,34918,6285
100,2408,649,870,1098,2042,3035,2285,1542,216,-2160,3751,2561,4204,3285,919,11,774,1150,1223,2644,3452,2656,1754,246,-2457,692,1009,1188,2344,3209,2480,1630,229,-2284,11829,33481,6285
110,2436,583,830,1112,2101,3093,2197,1571,221,-2201,3772,2942,5829,4182,1647,11,581,866,962,2664,2812,2047,1428,200,-2001,623,885,1148,2382,3132,2274,1591,223,-2229,11569,33530,6285
256,2396,681,873,1085,2117,3188,2375,1620,227,-2269,3737,2849,4816,3712,1105,19,543,825,973,2436,2944,2272,1496,210,-2095,582,808,1059,2108,3012,2370,1530,215,-2144,11520,33648,6285
99,2384,793,1175,1471,2219,3330,2808,1692,237,-2370,3720,1952,3064,2514,551,13,881,1311,1688,2757,3666,3204,1862,261,-2609,861,1216,1601,2484,3554,3110,1805,253,-2529,11522,33634,6285
188,2497,557,838,1053,1781,2587,1997,1314,184,-1841,3784,2084,3107,2396,711,3,744,1079,1311,2220,3207,2731,1629,229,-2282,665,974,1267,2064,3165,2593,1608,226,-2253,11532,34221,6285
15,1860,1125,1659,1994,2483,3267,2716,1660,233,-2325,3018,848,1352,1087,265,14,1221,1893,2251,3048,3632,3102,1845,259,-2585,1250,1936,2330,3092,3768,3088,1914,269,-2682,7553,37092,6282
174,1875,1691,2584,3365,4901,5690,4288,2891,406,-4050,3032,1210,2239,1575,664,34,1483,2243,2690,3832,4402,3660,2236,314,-3133,1422,2132,2649,3832,4665,3518,2370,333,-3320,8104,37041,6291
111,1901,1151,1762,2097,2995,3966,3153,2015,283,-2823,3056,1392,2352,1798,554,23,1039,1577,1870,2935,3541,2868,1799,252,-2520,1091,1647,1989,2972,3753,2864,1907,268,-2671,7943,37017,6286
158,1840,1627,2462,3126,4422,5244,4088,2664,374,-3732,2993,1328,2133,1688,445,27,1453,2204,2678,4102,4912,3700,2495,350,-3496,1414,2195,2624,4009,4733,3461,2404,337,-3368,7937,37093,6291
124,1792,1266,1890,2336,3124,4362,3321,2216,311,-3104,2952,1292,3575,2017,1558,3,1182,1799,2156,3192,4201,3543,2134,300,-2990,1202,1869,2299,3222,4258,3415,2163,304,-3030,7922,37335,6290
135,1793,1318,1955,2374,3262,4128,3463,2097,294,-2938,2953,1239,3420,1982,1438,2,1244,1849,2294,3261,4150,3459,2108,296,-2954,1267,1915,2350,3256,4041,3437,2053,288,-2876,7958,37333,6290
124,1789,1360,1958,2382,3550,4951,4146,2515,353,-3524,2949,1230,4300,2361,1940,3,1277,1995,2412,3381,4472,3889,2272,319,-3183,1307,1961,2484,3435,4449,3624,2260,317,-3166,7999,37327,6290
98,1792,1442,1954,2499,3470,4419,3379,2245,315,-3145,2951,1201,3295,2052,1243,3,1321,1957,2494,3443,4533,3726,2303,323,-3226,1336,1952,2450,3456,4329,3461,2199,309,-3081,7885,37336,6290
278,1988,842,1214,1517,2318,3106,2406,1578,221,-2211,3147,1580,3059,2191,868,3,877,1334,1636,2659,3301,2674,1677,235,-2349,937,1386,1745,2658,3487,2781,1771,249,-2482,8687,36753,6286
77,1914,1106,1628,1960,2950,4032,3085,2048,287,-2870,3073,1550,3709,2331,1378,6,1020,1510,1845,2951,3766,3018,1913,269,-2680,1074,1565,1963,2991,3875,3023,1969,276,-2758,8487,36818,6290
13,1914,1128,1702,2035,3190,3887,2982,1975,277,-2766,3073,1479,3227,2058,1169,8,1106,1634,2005,3115,4041,3142,2053,288,-2876,1134,1689,2139,3168,4132,3158,2099,295,-2941,8505,36810,6290
330,1903,637,887,1112,1716,2290,1765,1163,163,-1630,3067,1765,3757,2475,1282,43,822,1223,1428,2518,2926,2144,1486,209,-2082,877,1288,1574,2499,3086,2207,1568,220,-2196,8599,36783,6291
342,1887,674,919,1225,1921,2338,1844,1188,167,-1664,3055,1583,4097,2514,1583,34,776,1145,1346,2413,2578,1915,1310,184,-1835,814,1208,1467,2373,2714,1919,1379,194,-1932,8599,36783,6291
346,1870,1462,2027,2358,2841,3498,3327,1777,249,-2490,3029,898,1280,990,290,3,1476,1995,2287,3018,3455,3327,1755,246,-2459,1434,1961,2362,3058,3631,3268,1845,259,-2584,7602,37087,6291
110,1947,1070,1727,2201,3223,3980,2963,2022,284,-2833,3096,1426,2369,1865,504,23,1049,1650,1976,3198,3991,3085,2027,285,-2840,1096,1692,2112,3219,4030,3098,2047,287,-2868,8231,36827,6291
187,1917,1469,2313,3031,4215,5057,3958,2569,361,-3599,3071,1259,2233,1670,564,29,1251,1972,2414,3426,4166,3410,2116,297,-2965,1279,2010,2435,3404,4198,3334,2133,299,-2988,8229,36828,6291
107,1966,1541,2136,2652,3680,4037,3414,2051,288,-2873,3107,1347,1850,1575,275,56,1414,1997,2336,3413,3608,3054,1833,257,-2568,1362,1958,2385,3443,3748,3061,1904,267,-2667,8100,36879,6153
61,1890,1065,1451,1717,2463,3319,2932,1686,237,-2362,3048,1375,2542,1783,759,4,1135,1636,1918,2912,3500,3234,1778,250,-2491,1172,1697,2068,2938,3666,3179,1862,261,-2609,7574,37086,6290
